Test Method,# configuration parameter,Configuration Key
org.apache.hadoop.yarn.util.resource.TestResources#testAdd,15,[yarn.resourcemanager.configuration.provider-class=org.apache.hadoop.yarn.LocalConfigurationProvider;yarn.resource-types=resource2;yarn.resource-types.resource2.units=;yarn.resource-types.resource2.type=COUNTABLE;yarn.resource-types.resource2.minimum-allocation=0;yarn.resource-types.resource2.maximum-allocation=9223372036854775807;yarn.resource-types.resource2.tags=null;yarn.resource-types.memory-mb.minimum-allocation=-1;yarn.scheduler.minimum-allocation-mb=1024;yarn.resource-types.memory-mb.maximum-allocation=-1;yarn.scheduler.maximum-allocation-mb=8192;yarn.resource-types.vcores.minimum-allocation=-1;yarn.scheduler.minimum-allocation-vcores=1;yarn.resource-types.vcores.maximum-allocation=-1;yarn.scheduler.maximum-allocation-vcores=4;]
org.apache.hadoop.yarn.api.TestPBImplRecords#testSerializedExceptionPBImpl,11,[yarn.ipc.record.factory.class=org.apache.hadoop.yarn.factories.impl.pb.RecordFactoryPBImpl;yarn.resourcemanager.configuration.provider-class=org.apache.hadoop.yarn.LocalConfigurationProvider;yarn.resource-types=null;yarn.resource-types.memory-mb.minimum-allocation=-1;yarn.scheduler.minimum-allocation-mb=1024;yarn.resource-types.memory-mb.maximum-allocation=-1;yarn.scheduler.maximum-allocation-mb=8192;yarn.resource-types.vcores.minimum-allocation=-1;yarn.scheduler.minimum-allocation-vcores=1;yarn.resource-types.vcores.maximum-allocation=-1;yarn.scheduler.maximum-allocation-vcores=4;]
org.apache.hadoop.yarn.api.TestPBImplRecords#testGetContainerStatusesRequestPBImpl,11,[yarn.ipc.record.factory.class=org.apache.hadoop.yarn.factories.impl.pb.RecordFactoryPBImpl;yarn.resourcemanager.configuration.provider-class=org.apache.hadoop.yarn.LocalConfigurationProvider;yarn.resource-types=null;yarn.resource-types.memory-mb.minimum-allocation=-1;yarn.scheduler.minimum-allocation-mb=1024;yarn.resource-types.memory-mb.maximum-allocation=-1;yarn.scheduler.maximum-allocation-mb=8192;yarn.resource-types.vcores.minimum-allocation=-1;yarn.scheduler.minimum-allocation-vcores=1;yarn.resource-types.vcores.maximum-allocation=-1;yarn.scheduler.maximum-allocation-vcores=4;]
org.apache.hadoop.yarn.api.TestPBImplRecords#testContainerReportPBImpl,11,[yarn.ipc.record.factory.class=org.apache.hadoop.yarn.factories.impl.pb.RecordFactoryPBImpl;yarn.resourcemanager.configuration.provider-class=org.apache.hadoop.yarn.LocalConfigurationProvider;yarn.resource-types=null;yarn.resource-types.memory-mb.minimum-allocation=-1;yarn.scheduler.minimum-allocation-mb=1024;yarn.resource-types.memory-mb.maximum-allocation=-1;yarn.scheduler.maximum-allocation-mb=8192;yarn.resource-types.vcores.minimum-allocation=-1;yarn.scheduler.minimum-allocation-vcores=1;yarn.resource-types.vcores.maximum-allocation=-1;yarn.scheduler.maximum-allocation-vcores=4;]
org.apache.hadoop.yarn.security.TestDockerClientConfigHandler#testReadCredentialsFromConfigFile,29,[fs.creation.parallel.count=64;fs.defaultFS=file:///;fs.file.impl.disable.cache=false;hadoop.security.token.service.use_ip=true;hadoop.security.dns.log-slow-lookups.enabled=false;hadoop.security.dns.log-slow-lookups.threshold.ms=1000;hadoop.security.authentication=simple;hadoop.security.auth_to_local=RULE:[1:$1] RULE:[2:$1];hadoop.security.auth_to_local.mechanism=hadoop;hadoop.kerberos.min.seconds.before.relogin=60;hadoop.kerberos.keytab.login.autorenewal.enabled=false;hadoop.security.group.mapping=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback;hadoop.security.groups.cache.secs=300;hadoop.security.groups.negative-cache.secs=30;hadoop.security.groups.cache.warn.after.ms=5000;hadoop.security.groups.cache.background.reload=false;hadoop.security.groups.cache.background.reload.threads=3;hadoop.user.group.static.mapping.overrides=dr.who=;;hadoop.user.group.metrics.percentiles.intervals=null;hadoop.token.files=null;hadoop.tokens=null;fs.file.impl=null;file.bytes-per-checksum=512;fs.client.resolve.remote.symlinks=true;fs.local.block.size=33554432;hadoop.service.shutdown.timeout=30s;fs.automatic.close=true;io.file.buffer.size=4096;file.stream-buffer-size=4096;]
org.apache.hadoop.yarn.security.TestYARNTokenIdentifier#testNMTokenIdentifierOldFormat,1,[yarn.ipc.record.factory.class=org.apache.hadoop.yarn.factories.impl.pb.RecordFactoryPBImpl;]
org.apache.hadoop.yarn.api.TestPBImplRecords#testCancelDelegationTokenResponsePBImpl,11,[yarn.ipc.record.factory.class=org.apache.hadoop.yarn.factories.impl.pb.RecordFactoryPBImpl;yarn.resourcemanager.configuration.provider-class=org.apache.hadoop.yarn.LocalConfigurationProvider;yarn.resource-types=null;yarn.resource-types.memory-mb.minimum-allocation=-1;yarn.scheduler.minimum-allocation-mb=1024;yarn.resource-types.memory-mb.maximum-allocation=-1;yarn.scheduler.maximum-allocation-mb=8192;yarn.resource-types.vcores.minimum-allocation=-1;yarn.scheduler.minimum-allocation-vcores=1;yarn.resource-types.vcores.maximum-allocation=-1;yarn.scheduler.maximum-allocation-vcores=4;]
org.apache.hadoop.yarn.api.TestPBImplRecords#testRefreshUserToGroupsMappingsResponsePBImpl,11,[yarn.ipc.record.factory.class=org.apache.hadoop.yarn.factories.impl.pb.RecordFactoryPBImpl;yarn.resourcemanager.configuration.provider-class=org.apache.hadoop.yarn.LocalConfigurationProvider;yarn.resource-types=null;yarn.resource-types.memory-mb.minimum-allocation=-1;yarn.scheduler.minimum-allocation-mb=1024;yarn.resource-types.memory-mb.maximum-allocation=-1;yarn.scheduler.maximum-allocation-mb=8192;yarn.resource-types.vcores.minimum-allocation=-1;yarn.scheduler.minimum-allocation-vcores=1;yarn.resource-types.vcores.maximum-allocation=-1;yarn.scheduler.maximum-allocation-vcores=4;]
org.apache.hadoop.yarn.logaggregation.TestAggregatedLogFormat#testReadAcontainerLogs1,11,[yarn.ipc.record.factory.class=org.apache.hadoop.yarn.factories.impl.pb.RecordFactoryPBImpl;fs.permissions.umask-mode=022;fs.defaultFS=file:///;fs.AbstractFileSystem.file.impl=org.apache.hadoop.fs.local.LocalFs;fs.client.resolve.remote.symlinks=true;fs.local.block.size=33554432;yarn.nodemanager.log-aggregation.compression-type=none;tfile.fs.output.buffer.size=262144;tfile.io.chunk.size=1048576;fs.file.impl.disable.cache=false;tfile.fs.input.buffer.size=262144;]
org.apache.hadoop.yarn.api.TestPBImplRecords#testStartContainersRequestPBImpl,11,[yarn.ipc.record.factory.class=org.apache.hadoop.yarn.factories.impl.pb.RecordFactoryPBImpl;yarn.resourcemanager.configuration.provider-class=org.apache.hadoop.yarn.LocalConfigurationProvider;yarn.resource-types=null;yarn.resource-types.memory-mb.minimum-allocation=-1;yarn.scheduler.minimum-allocation-mb=1024;yarn.resource-types.memory-mb.maximum-allocation=-1;yarn.scheduler.maximum-allocation-mb=8192;yarn.resource-types.vcores.minimum-allocation=-1;yarn.scheduler.minimum-allocation-vcores=1;yarn.resource-types.vcores.maximum-allocation=-1;yarn.scheduler.maximum-allocation-vcores=4;]
org.apache.hadoop.yarn.client.api.impl.TestTimelineClient#testPostEntitiesConnectionRefused,24,[yarn.timeline-service.versions=null;hadoop.security.token.service.use_ip=true;hadoop.security.dns.log-slow-lookups.enabled=false;hadoop.security.dns.log-slow-lookups.threshold.ms=1000;hadoop.security.authentication=simple;hadoop.security.auth_to_local=RULE:[1:$1] RULE:[2:$1];hadoop.security.auth_to_local.mechanism=hadoop;hadoop.kerberos.min.seconds.before.relogin=60;hadoop.kerberos.keytab.login.autorenewal.enabled=false;hadoop.security.group.mapping=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback;hadoop.security.groups.cache.secs=300;hadoop.security.groups.negative-cache.secs=30;hadoop.security.groups.cache.warn.after.ms=5000;hadoop.security.groups.cache.background.reload=false;hadoop.security.groups.cache.background.reload.threads=3;hadoop.user.group.static.mapping.overrides=dr.who=;;hadoop.user.group.metrics.percentiles.intervals=null;hadoop.token.files=null;hadoop.tokens=null;yarn.http.policy=HTTP_ONLY;yarn.timeline-service.hostname=0.0.0.0;yarn.timeline-service.webapp.address=0.0.0.0:8188;yarn.timeline-service.client.max-retries=30;yarn.timeline-service.client.retry-interval-ms=1000;]
org.apache.hadoop.yarn.api.TestPBImplRecords#testPriorityPBImpl,11,[yarn.ipc.record.factory.class=org.apache.hadoop.yarn.factories.impl.pb.RecordFactoryPBImpl;yarn.resourcemanager.configuration.provider-class=org.apache.hadoop.yarn.LocalConfigurationProvider;yarn.resource-types=null;yarn.resource-types.memory-mb.minimum-allocation=-1;yarn.scheduler.minimum-allocation-mb=1024;yarn.resource-types.memory-mb.maximum-allocation=-1;yarn.scheduler.maximum-allocation-mb=8192;yarn.resource-types.vcores.minimum-allocation=-1;yarn.scheduler.minimum-allocation-vcores=1;yarn.resource-types.vcores.maximum-allocation=-1;yarn.scheduler.maximum-allocation-vcores=4;]
org.apache.hadoop.yarn.conf.TestHAUtil#testGetConfKeyForRMInstance,1,[yarn.http.policy=HTTP_ONLY;]
org.apache.hadoop.yarn.webapp.TestWebApp#testCustomRoutes,34,[yarn.http.policy=HTTP_ONLY;yarn.admin.acl=*;hadoop.security.group.mapping=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback;hadoop.security.groups.cache.secs=300;hadoop.security.groups.negative-cache.secs=30;hadoop.security.groups.cache.warn.after.ms=5000;hadoop.security.groups.cache.background.reload=false;hadoop.security.groups.cache.background.reload.threads=3;hadoop.user.group.static.mapping.overrides=dr.who=;;hadoop.http.temp.dir=null;hadoop.http.authentication.signature.secret.file=/home/tony/hadoop-http-auth-signature-secret;hadoop.http.authentication.token.validity=36000;hadoop.http.authentication.simple.anonymous.allowed=true;hadoop.http.authentication.type=simple;hadoop.http.authentication.kerberos.keytab=/home/tony/hadoop.keytab;hadoop.http.authentication.kerberos.principal=HTTP/_HOST@LOCALHOST;hadoop.security.token.service.use_ip=true;hadoop.security.dns.log-slow-lookups.enabled=false;hadoop.security.dns.log-slow-lookups.threshold.ms=1000;hadoop.http.max.threads=-1;hadoop.http.logs.enabled=true;hadoop.jetty.logs.serve.aliases=true;hadoop.http.filter.initializers=org.apache.hadoop.http.lib.StaticUserWebFilter;dfs.web.ugi=null;hadoop.http.staticuser.user=dr.who;hadoop.prometheus.endpoint.enabled=false;hadoop.http.max.request.header.size=65536;hadoop.http.max.response.header.size=65536;hadoop.http.idle_timeout.ms=60000;hadoop.http.socket.backlog.size=128;hadoop.http.sni.host.check.enabled=false;hadoop.http.acceptor.count=-1;hadoop.http.selector.count=-1;yarn.webapp.xfs-filter.enabled=true;]
org.apache.hadoop.yarn.api.TestPBImplRecords#testPreemptionContainerPBImpl,11,[yarn.ipc.record.factory.class=org.apache.hadoop.yarn.factories.impl.pb.RecordFactoryPBImpl;yarn.resourcemanager.configuration.provider-class=org.apache.hadoop.yarn.LocalConfigurationProvider;yarn.resource-types=null;yarn.resource-types.memory-mb.minimum-allocation=-1;yarn.scheduler.minimum-allocation-mb=1024;yarn.resource-types.memory-mb.maximum-allocation=-1;yarn.scheduler.maximum-allocation-mb=8192;yarn.resource-types.vcores.minimum-allocation=-1;yarn.scheduler.minimum-allocation-vcores=1;yarn.resource-types.vcores.maximum-allocation=-1;yarn.scheduler.maximum-allocation-vcores=4;]
org.apache.hadoop.yarn.util.resource.TestResourceUtils#testGetNodeResourcesRedefineFpgaErrors,7,[yarn.resourcemanager.configuration.provider-class=org.apache.hadoop.yarn.LocalConfigurationProvider;yarn.resource-types=yarn.io/fpga;yarn.resource-types.yarn.io/fpga.units=G;yarn.resource-types.yarn.io/fpga.type=COUNTABLE;yarn.resource-types.yarn.io/fpga.minimum-allocation=0;yarn.resource-types.yarn.io/fpga.maximum-allocation=9223372036854775807;yarn.resource-types.yarn.io/fpga.tags=null;]
org.apache.hadoop.yarn.TestRPCFactories#test,56,[ipc.maximum.data.length=134217728;ipc.server.handler.queue.size=100;ipc.server.max.response.size=1048576;ipc.server.read.threadpool.size=1;ipc.server.read.connection-queue.size=100;ipc.0.callqueue.impl=null;ipc.0.scheduler.impl=null;ipc.0.backoff.enable=false;ipc.0.faircallqueue.priority-levels=0;ipc.0.scheduler.priority.levels=4;ipc.0.callqueue.overflow.trigger.failover=false;hadoop.security.authorization=false;hadoop.security.token.service.use_ip=true;hadoop.security.dns.log-slow-lookups.enabled=false;hadoop.security.dns.log-slow-lookups.threshold.ms=1000;hadoop.security.authentication=simple;ipc.server.listen.queue.size=256;ipc.server.reuseaddr=true;ipc.client.idlethreshold=4000;ipc.client.connection.idle-scan-interval.ms=10000;ipc.client.connection.maxidletime=10000;ipc.client.kill.max=10;ipc.server.max.connections=0;rpc.metrics.percentiles.intervals=null;rpc.metrics.timeunit=MILLISECONDS;ipc.server.tcpnodelay=true;ipc.server.log.slow.rpc=false;ipc.server.purge.interval=15;hadoop.security.auth_to_local=RULE:[1:$1] RULE:[2:$1];hadoop.security.auth_to_local.mechanism=hadoop;hadoop.kerberos.min.seconds.before.relogin=60;hadoop.kerberos.keytab.login.autorenewal.enabled=false;hadoop.security.group.mapping=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback;hadoop.security.groups.cache.secs=300;hadoop.security.groups.negative-cache.secs=30;hadoop.security.groups.cache.warn.after.ms=5000;hadoop.security.groups.cache.background.reload=false;hadoop.security.groups.cache.background.reload.threads=3;hadoop.user.group.static.mapping.overrides=dr.who=;;hadoop.user.group.metrics.percentiles.intervals=null;hadoop.rpc.socket.factory.class.default=org.apache.hadoop.net.StandardSocketFactory;hadoop.token.files=null;hadoop.tokens=null;ipc.client.rpc-timeout.ms=0;ipc.client.connect.max.retries=10;ipc.client.connect.retry.interval=1000;ipc.client.connect.max.retries.on.sasl=5;ipc.client.connect.max.retries.on.timeouts=45;ipc.client.tcpnodelay=true;ipc.client.low-latency=false;ipc.client.ping=true;ipc.ping.interval=60000;ipc.client.connect.timeout=20000;ipc.client.fallback-to-simple-auth-allowed=false;ipc.client.bind.wildcard.addr=false;ipc.client.async.calls.max=100;]
org.apache.hadoop.yarn.api.TestPBImplRecords#testSchedulingRequestPBImpl,11,[yarn.ipc.record.factory.class=org.apache.hadoop.yarn.factories.impl.pb.RecordFactoryPBImpl;yarn.resourcemanager.configuration.provider-class=org.apache.hadoop.yarn.LocalConfigurationProvider;yarn.resource-types=null;yarn.resource-types.memory-mb.minimum-allocation=-1;yarn.scheduler.minimum-allocation-mb=1024;yarn.resource-types.memory-mb.maximum-allocation=-1;yarn.scheduler.maximum-allocation-mb=8192;yarn.resource-types.vcores.minimum-allocation=-1;yarn.scheduler.minimum-allocation-vcores=1;yarn.resource-types.vcores.maximum-allocation=-1;yarn.scheduler.maximum-allocation-vcores=4;]
org.apache.hadoop.yarn.api.TestPBImplRecords#testMoveApplicationAcrossQueuesResponsePBImpl,11,[yarn.ipc.record.factory.class=org.apache.hadoop.yarn.factories.impl.pb.RecordFactoryPBImpl;yarn.resourcemanager.configuration.provider-class=org.apache.hadoop.yarn.LocalConfigurationProvider;yarn.resource-types=null;yarn.resource-types.memory-mb.minimum-allocation=-1;yarn.scheduler.minimum-allocation-mb=1024;yarn.resource-types.memory-mb.maximum-allocation=-1;yarn.scheduler.maximum-allocation-mb=8192;yarn.resource-types.vcores.minimum-allocation=-1;yarn.scheduler.minimum-allocation-vcores=1;yarn.resource-types.vcores.maximum-allocation=-1;yarn.scheduler.maximum-allocation-vcores=4;]
